document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
10839,1003946,Sakonnet River Bridge Rehabilitation or Replacement Project RI -24 between Portsmouth & Tiverton Newport County RI,EisDocument-UOFA-00567,Federal Highway Administration,Transportation,RI,4/25/03,3
8690,2000754,North Kennedy-Cottonwood Stewardship Project Existing Transportation System Modifications and Forest Health Improvements through Vegetation Management both Commerical and Non-Commerical Methods Boise National Forest Emmett Ranger District Gem and Valley Counties ID,EisDocument-UOFA-01053,Forest Service,Land Management Plan,ID,4/4/03,2
2861,1001029,Croatan National Forest Revised Land and Resource Management Plan (1986) Implementation Carteret Craven and Jones Counties NC,EisDocument-UOFA-01172,Forest Service,Land Management Plan,NC,2/28/03,3
1073,1000353,Beaufort Sea Planning Area Multiple Sale 186 195 and 202 Oil and Gas Lease Sales Alaska Outer Continental Shelf Offshore Marine Environment Beaufort Sea Coastal Plain and the North Slope Borough of Alaska,EisDocument-UOFA-00799,Minerals Management Service,Mineral Resource Extraction,AK,2/14/03,39
6570,1002410,Lakeview Resource Management Plan Unified Land Use Plan Replacement of All or Portions of Three nearly Twenty Year Old existing Land Use Plans Implementation Lake and Harney Counties OR,EisDocument-UOFA-00631,Bureau of Land Management,Conservation/Restoration/ Bio. Resource use,OR,1/31/03,1
5059,1001843,Gulf of Mexico Outer Continental Shelf Oil and Gas Lease Sales 2002-2007 starting in 2002 the Proposed Central Planning Area Sales 185 190 194 198 and 201 and Western Planning Sales 187 192 196 and 200 Offshore Marine Environment and Coastal Counties and Parishes of TX LA AL and MS,EisDocument-UOFA-02368,Minerals Management Service,Mineral Resource Extraction,Gulf of Mexico,11/15/02,40
8857,1003245,Northern and Eastern Mojave Planning Area (NEMO) and California Desert Conservation Area Plan Amendments Implementation Mojave Desert CA,EisDocument-ALIGN-00325,Bureau of Land Management,Land Management Plan,CA,8/23/02,1
14253,1005164,Whiskey Campo Resource Management Project Implementation Elmore County ID,EisDocument-UOFA-00428,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,7/19/02,1
7488,1002735,Meadowlands Mills Project Construction of a Mixed-Use Commercial Development Permit Application Number 95-07-440-RS US Army COE Section 10 and 404 Permits Issuance Boroughs of Carlstadt and Moonachie Township of South Hackensack Bergen County NJ,EisDocument-UOFA-01719,U.S. Army Corps of Engineers,Water Works,NJ,7/5/02,1
14295,1005181,White River National Forest Revised Land and Resource Management Plan 2002 Revision Selected Alternative K Implementation Several Counties CO,EisDocument-UOFA-02146,Forest Service,Land Management Plan,CO,6/7/02,1
2715,2000255,Coral Reef Ecosystems of the Western Pacific Region Fishery Management Plan Including Amendments to Four Existing FMPs Amendment 7 - Bottomfish and Seamount Groundfish Fisheries Amendment 11- Crustaceans Fisheriers; Amendment 5 - Precious Coral Fisheries and Amendment 10 - Pelagics Fisheriers HI GU and AS,EisDocument-UOFA-02156,National Oceanic and Atmospheric Administration,Conservation/Restoration/ Bio. Resource use,Pacific Ocean,5/10/02,3
4034,1001466,Five Rivers Watershed Landscape Management Project To Restore Terrestrial and Aquatic Habitat Special-Use-Permit Siuslaw National Forest Waldport Ranger District Lincoln and Lane Counties OR,EisDocument-ALIGN-00010,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,5/3/02,2
8725,1003215,North Shore Connector Extending existing Light Rail Transit (LRT) System from Golden Triangle of downtown Pittsburgh to the North Shore Funding USCG Bridge Permit NPDES Permit and COE Section 10 and 404 Permits Allegheny County PA,EisDocument-UOFA-00444,Federal Transit Administration,Transportation,PA,5/3/02,1
7219,1002881,MO-63 Corridor Project Transportation Improvement extending from south of the Phelps/Maries County Line and south of Route W near Vida Funding and US Army COE Section 404 Permit City of Rolla Phelps and Maries Counties MO,EisDocument-UOFA-01063,Federal Highway Administration,Transportation,MO,3/29/02,1
1635,1000558,Burned Area Recovery Proposal to Reduce Fuels Improve Watershed Conditions and Reforest Burned Lands Sula Darby West Fork and Stevensville Ranger Districts Bitterroot National Forest Ravalli County MT,EisDocument-UOFA-02016,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,10/19/01,7
1071,1000352,Beaufort Sea Oil and Gas Development Northstar Project Implementation NPDES Permit Sea Island Alaskan Beaufort Sea Offshore Marine Environment and Onshore Northslope of Alaskan Coastal Plain AK,EisDocument-ALIGN-00082,U.S. Army Corps of Engineers,Mineral Resource Extraction,AK,2/5/99,154
8378,1003080,Nevada Test Site (NTS) and Off-Site Locations Implementation at the Following Sites: Tonopah Test Range; Portions of the Nellis Air Force Range (NAFR) Complex; the Central Nevada Test Area and Shoal Area Project Nye County NV,EisDocument-ALIGN-00113,Department of Energy,Energy generation/transmission,NV,10/18/96,3
1077,1000355,Beaufort Sea Planning Area Proposed 1996 Oil and Gas Lease Sale No. 144 Lease Offerings Alaska Outer Continental Shelf (OCS) AK,EisDocument-ALIGN-00111,Minerals Management Service,Mineral Resource Extraction,AK,5/17/96,5
66,1000026,1995 Central and Western Gulf of Mexico Outer Continental Shelf (OCS) Oil and Gas Sales 152 (April 1995) and 155 (August 1995) Lease Offering Offshore Marine Environment and coastal counties AL MS LA and TX,EisDocument-ALIGN-00107,Minerals Management Service,Mineral Resource Extraction,AL;LA;TX;MS;Gulf of Mexico,12/23/94,1
188,1003141,ADOPTION - Niagara Import Point Project Natural Gas Pipeline Facilities Construction and Operation Licenses Section 10 and 404 Permits NY WI MA MN MI and RI The US Department of Energy has ADOPTED the US Department of Energy Federal Energy Regulat,EisDocument-ALIGN-00288,Department of Energy,Energy generation/transmission;Mineral Resource Extraction,NY;WI;MA;MN;MI;RI,9/28/90,1
8536,1003141,Niagara Import Point Project Natural Gas Pipeline Facilities Construction and Operation Licenses Section 10 and 404 Permits NY WI MA MN MI and RI,EisDocument-ALIGN-00289,Federal Energy Regulatory Commission,Energy generation/transmission;Mineral Resource Extraction,,6/22/90,1
